sourceLongitude,sourceLatitude,distance,destinationDeviceId,sourceDeviceId,time,destinationLatitude,destinationLongitude
113.36599183,23.19743447,26.304499076679424,‘¡BBZ769,861260030902843,2017-05-25 09:30:18,23.197416,113.366248
113.36295467,23.20907011,4.4689607243719625,‘¡BBZ769,861260030902843,2017-05-25 09:27:07,23.2091,113.362984
113.35213619,23.23683331,1.6586911009648206,‘¡BBZ769,861260030902843,2017-05-25 09:24:00,23.236834,113.35212
113.35751812,23.26070956,15.341807691814571,‘¡BBZ769,861260030902843,2017-05-25 09:21:05,23.260834,113.357584
113.35806657,23.28083053,21.287615001094213,‘¡BBZ769,861260030902843,2017-05-25 09:18:12,23.2808,113.358272
113.29264929,23.34704009,500.02542230929913,‘¡BBZ769,861260030902843,2017-05-24 23:03:38,23.342934,113.290616
113.29265295,23.34703485,499.6536234641685,‘¡BBZ769,861260030902843,2017-05-24 23:00:39,23.342934,113.290616
113.29215844,23.34560803,335.5314632829611,‘¡BBZ769,861260030902843,2017-05-24 22:54:42,23.342934,113.290616
113.29137663,23.34489348,230.528869619989,‘¡BBZ769,861260030902843,2017-05-24 22:45:14,23.342934,113.290616
113.29198842,23.34395095,179.9485432443778,‘¡BBZ769,861260030902843,2017-05-24 22:42:14,23.342934,113.290616
113.29120372,23.34255405,73.36766809251944,‘¡BBZ769,861260030902843,2017-05-24 22:39:15,23.342934,113.290616
113.29064326,23.34289512,5.129514443988116,‘¡BBZ769,861260030902843,2017-05-24 22:36:18,23.342934,113.290616
113.29062716,23.34288964,5.043630853799586,‘¡BBZ769,861260030902843,2017-05-24 22:33:45,23.342934,113.290616
113.2906252,23.34289042,4.917274095382658,‘¡BBZ769,861260030902843,2017-05-24 22:33:18,23.342934,113.290616
113.29050106,23.34267927,11.79493040112989,‘¡BBZ769,861260030902843,2017-05-24 22:30:20,23.342766,113.290568
113.29468858,23.30336244,11.577048651840052,‘¡BBZ769,861260030902843,2017-05-24 22:18:27,23.303466,113.294704
113.44599297,23.25434021,31.82224128103106,‘¡BBZ769,861260030902843,2017-05-24 22:03:02,23.254284,113.445688
113.71144601,23.37683014,39.38795624048021,‘¡BBZ769,861260030902843,2017-05-24 21:39:07,23.376784,113.711064
113.85933985,23.42321354,53.55209481993798,‘¡BBZ769,861260030902843,2017-05-24 21:27:00,23.423416,113.858864
113.9703418,23.51327594,37.49777901898,‘¡BBZ769,861260030902843,2017-05-24 21:15:01,23.5132,113.969984
114.09054366,23.61599482,33.419680281626015,‘¡BBZ769,861260030902843,2017-05-24 21:00:06,23.616234,114.090344
114.11950407,23.5969462,28.982929229275197,‘¡BBZ769,861260030902843,2017-05-24 20:57:07,23.597116,114.119288
114.15807323,23.59716718,27.823801464509025,‘¡BBZ769,861260030902843,2017-05-24 20:54:01,23.597084,114.157816
114.19298353,23.60911353,20.390824438596812,‘¡BBZ769,861260030902843,2017-05-24 20:51:02,23.608966,114.192864
114.33960235,23.52787333,40.434479986670574,‘¡BBZ769,861260030902843,2017-05-24 20:36:06,23.52815,114.339344
114.37237374,23.51393893,21.25750401596107,‘¡BBZ769,861260030902843,2017-05-24 20:33:01,23.513968,114.372168
114.40416037,23.49937377,43.85605102257142,‘¡BBZ769,861260030902843,2017-05-24 20:30:01,23.499434,114.403736
114.43377611,23.4995664,10.635414210005615,‘¡BBZ769,861260030902843,2017-05-24 20:27:08,23.499568,114.433672
115.88175035,23.47236635,12.208393042790059,‘¡BBZ769,861260030902843,2017-05-24 18:03:03,23.472434,115.881656
115.90890336,23.45742809,22.950183295015876,‘¡BBZ769,861260030902843,2017-05-24 18:00:09,23.45745,115.90868
115.94334008,23.44844129,35.72110514937723,‘¡BBZ769,861260030902843,2017-05-24 17:57:08,23.448516,115.943
116.01361347,23.44572904,58.44545777351273,‘¡BBZ769,861260030902843,2017-05-24 17:51:04,23.44545,116.013128
116.0494225,23.45434219,32.555757104372056,‘¡BBZ769,861260030902843,2017-05-24 17:48:02,23.454334,116.049104
116.08561438,23.4651084,20.46454241262912,‘¡BBZ769,861260030902843,2017-05-24 17:45:01,23.465032,116.085432
116.12081113,23.46725924,32.25847313588609,‘¡BBZ769,861260030902843,2017-05-24 17:42:05,23.467166,116.120512
116.15710369,23.46693501,53.61108138518433,‘¡BBZ769,861260030902843,2017-05-24 17:39:08,23.466868,116.156584
116.19451105,23.46232833,30.151812137663875,‘¡BBZ769,861260030902843,2017-05-24 17:36:05,23.462334,116.194216
116.21550354,23.47463098,51.10156012831318,‘¡BBZ769,861260030902843,2017-05-24 17:33:59,23.474318,116.215136
116.22691969,23.47666913,32.72786456281661,‘¡BBZ769,861260030902843,2017-05-24 17:33:00,23.47665,116.2266
116.26179441,23.47553443,34.594985665526245,‘¡BBZ769,861260030902843,2017-05-24 17:30:05,23.475466,116.261464
116.29715249,23.46472215,26.319696559224244,‘¡BBZ769,861260030902843,2017-05-24 17:27:03,23.4647,116.296896
116.33323085,23.46385144,18.418029981987356,‘¡BBZ769,861260030902843,2017-05-24 17:24:02,23.46375,116.333088
116.36720072,23.45369784,22.145024227666486,‘¡BBZ769,861260030902843,2017-05-24 17:21:05,23.4537,116.366984
116.42957044,23.46477885,50.74525621377905,‘¡BBZ769,861260030902843,2017-05-24 17:15:02,23.464532,116.429152
116.45447564,23.48888904,21.555324519174516,‘¡BBZ769,861260030902843,2017-05-24 17:12:00,23.4888,116.454288
